Patch,Start Date,End Date
Patch 1.18,1/1/2018,2/15/2018
Patch 1.19c,2/16/2018,3/30/2018
Patch 1.21,3/31/2018,5/10/2018
Patch 1.22,5/11/2018,6/30/2018
Patch 1.25,7/1/2018,12/31/2018
Patch 1.32,1/1/2019,3/31/2019
Patch 1.34,4/1/2019,5/31/2019
Patch 1.36,6/1/2019,7/15/2019
Patch 1.38,7/16/2019,8/27/2019
Patch 1.39,8/28/2019,12/31/2019
Patch 1.44,1/1/2020,3/3/2020
Week 5,3/4/2020,3/26/2020
Week 8,3/27/2020,4/2/2020
Week 9,4/3/2020,4/9/2020
Week 10,4/10/2020,4/14/2020
Week 11,4/15/2020,4/23/2020
Week 12,4/24/2020,4/30/2020
Week 13,5/1/2020,5/7/2020
Week 14,5/8/2020,5/14/2020
Week 15,5/15/2020,5/20/2020
Week 16-18,5/21/2020,6/10/2020
Week 19-20,6/11/2020,6/25/2020
Week 21-23,6/26/2020,7/15/2020
Week 24-25,7/16/2020,7/29/2020
Week 26-27,7/30/2020,8/12/2020
Week 28-29,8/13/2020,9/1/2020
2020 Playoffs,9/2/2020,12/31/2020
